timestamp,robot1_x,robot1_y,robot1_z,robot2_x,robot2_y,robot2_z,robot3_x,robot3_y,robot3_z
1777154619.2668357,1.7000000000000033,-2.0,6.899999999999983,3.0,0.0,2.0,3.0,2.0,2.0
1777154619.7676802,1.2000000000000028,-2.0,6.899999999999983,3.0,0.0,2.0,3.0,2.0,2.0
1777154620.266005,0.7000000000000024,-2.0,6.899999999999983,3.0,0.0,2.0,3.0,2.0,2.0
1777154620.766133,0.2000000000000023,-2.0,6.899999999999983,3.0,0.0,2.0,3.0,2.0,2.0
1777154621.2662737,-0.2999999999999977,-2.0,6.899999999999983,3.0,0.0,2.0,3.0,2.0,2.0
1777154621.7662704,-0.7999999999999979,-2.0,6.899999999999983,3.0,0.0,2.0,3.0,2.0,2.0
1777154622.266481,-1.2999999999999983,-2.0,6.899999999999983,3.047140217150778,-0.006475767444519959,2.082223033958204,3.0,2.0,2.0
1777154622.766068,-1.27499194914799,-1.824998977766827,7.075003275852116,3.18918061583467,-0.23420173223505886,2.3521961609288695,3.0,2.0,2.0
1777154623.266029,-1.7749919491479904,-1.824998977766827,7.075003275852116,3.3025791344658764,-0.27463270749239044,2.710649260079152,3.0,2.0,2.0
1777154623.7660193,-1.8999919491476602,-1.6999989777667956,7.050003275852251,3.117329379809447,-0.46891998153787917,2.986503610271831,3.0,2.0,2.0
1777154624.2660742,-2.19999194914766,-1.6999989777667956,7.050003275852251,3.0772977736137683,-0.5303167883701647,3.425803518892839,3.0,2.0,2.0
1777154624.7667174,-2.19999194914766,-1.6999989777667956,7.050003275852251,2.9722062431724607,-0.5707851884365034,3.685918411826356,3.0,2.0,2.0
1777154625.2659748,-2.19999194914766,-1.6999989777667956,7.050003275852251,2.9722062431724607,-0.5707851884365034,3.685918411826356,3.0,2.0,2.0
1777154625.7660966,-2.19999194914766,-1.6999989777667956,7.050003275852251,2.9722062431724607,-0.5707851884365034,3.685918411826356,3.0,2.0,2.0
